Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
11/14/1975,-0.0464979332300438,-0.367845365534726,0.1372085224617,-2.04620500164468,-1.77187378117534,-0.947315284481119
11/21/1975,-0.0729463000074274,-0.336566258296939,0.105481927066303,-2.04968459446996,-1.80544099349721,-0.959435142612293
11/28/1975,-0.112593545999821,-0.322840041612424,0.0618515013633849,-2.05527397441384,-1.8390997087513,-0.970376442382595
12/05/1975,-0.165164995225159,-0.341318926463674,0.00693635016605474,-2.06195256619013,-1.87277429516063,-0.980203691502524
12/12/1975,-0.228992455164333,-0.39997758945064,-0.0574776840844697,-2.06906650804646,-1.90637865532896,-0.989000225111087
12/19/1975,-0.301236706133737,-0.495505101778375,-0.12867623969494,-2.07644822318249,-1.93973595809396,-0.996867561015706
12/26/1975,-0.379131995139347,-0.619670485774127,-0.204057347858592,-2.0844567994015,-1.97264209627722,-1.003917353557
01/02/1976,-0.458779934789813,-0.758428071652926,-0.28014233602243,-2.09377928283872,-2.00478804638505,-1.01027088532731
01/09/1976,-0.535833945517525,-0.894571343644717,-0.353133300805403,-2.10509084986066,-2.03582112732664,-1.01604280301104
01/16/1976,-0.606157166036032,-1.01422818388571,-0.419417243355561,-2.11906621626373,-2.06530965021175,-1.02136842149278
01/23/1976,-0.667075157148064,-1.10878619864194,-0.477146792035487,-2.13585884619499,-2.09287467272998,-1.02634548230121
01/30/1976,-0.717732384369339,-1.17477854071133,-0.525406682231231,-2.15529353765282,-2.11817094050155,-1.03106357893132
02/06/1976,-0.757908335742352,-1.21304139891906,-0.564103760357053,-2.17668730396965,-2.14092062816869,-1.03558840947805
02/13/1976,-0.787930397437177,-1.22527629393626,-0.593411997920311,-2.19898803661445,-2.16093465525368,-1.03995936891443
02/20/1976,-0.810560576414304,-1.2207182970939,-0.615544921292389,-2.22103520205025,-2.17812255120101,-1.04418730800478
02/27/1976,-0.827462842158687,-1.20669690201424,-0.631720717289015,-2.24166273970113,-2.19247805096767,-1.04825699660786
03/05/1976,-0.840413047397502,-1.19115922042831,-0.643244086819061,-2.2599656125366,-2.20406542490851,-1.05212634490893
03/12/1976,-0.849799724392268,-1.1783091241154,-0.650317621190375,-2.27526918359611,-2.212991810347,-1.05572881207054
03/19/1976,-0.855996919228028,-1.17062062072314,-0.653188249558992,-2.28737244371147,-2.21939316699276,-1.05897471039879
03/26/1976,-0.858062141791809,-1.16275081654213,-0.651168063418955,-2.29634912144794,-2.22339001779529,-1.06175252295314
04/02/1976,-0.854426838245112,-1.14680698190855,-0.643069385762566,-2.30259669222194,-2.22512056370231,-1.06393942239047
04/09/1976,-0.843452492541173,-1.11154500560814,-0.627900037588967,-2.30645241614106,-2.22466740860663,-1.06539690280799
04/16/1976,-0.824077933572141,-1.04826641009668,-0.605073747392464,-2.30846550716656,-2.22211226925516,-1.06597377718115
04/23/1976,-0.796322464489805,-0.952972186959865,-0.575570938563363,-2.30862256692834,-2.21754306031209,-1.06552571496812
04/30/1976,-0.761786490397363,-0.827868409964201,-0.540647382732859,-2.30701845702711,-2.21101362558223,-1.06391493718143
05/07/1976,-0.72306933662735,-0.683494432389985,-0.503096424990641,-2.30316990126074,-2.20255038263991,-1.06101135295507
05/14/1976,-0.683931243435833,-0.538864600857856,-0.466356384660303,-2.29653335140037,-2.19225332589451,-1.05670658495797
05/21/1976,-0.648852763319613,-0.41269141407345,-0.434410048944558,-2.28623804138262,-2.18010073440299,-1.05091932252501
05/28/1976,-0.621542579312167,-0.322242717700334,-0.41052993662,-2.27163761481643,-2.16610372446511,-1.04360178398063
06/04/1976,-0.60545775852118,-0.278337488824178,-0.397791537563028,-2.25217572460842,-2.15028055118231,-1.03474768410518
06/11/1976,-0.602295515658326,-0.280840247674242,-0.397779790874757,-2.22755343532241,-2.13256997947289,-1.02439484438991
06/18/1976,-0.611537946872808,-0.319009374853674,-0.409984264141418,-2.19778843570925,-2.11306560356743,-1.01263146565274
06/25/1976,-0.632058825255365,-0.379863227368838,-0.433585777522904,-2.16314212998956,-2.09191009424677,-0.999595158662321
07/02/1976,-0.660377461576167,-0.447916179894404,-0.465584892939616,-2.12411669302611,-2.06933727671867,-0.985466452484936
07/09/1976,-0.693046010485386,-0.513608701555784,-0.503220478006752,-2.08121553286626,-2.04561642621319,-0.9704446734231
07/16/1976,-0.72625562549233,-0.573845192907486,-0.543041894246516,-2.03522701040433,-2.021220197724,-0.954790158915172
07/23/1976,-0.756819101779095,-0.631481557473085,-0.582602822267926,-1.98663684516195,-1.99652129120871,-0.938725336248467
07/30/1976,-0.782691385372422,-0.691075617471309,-0.619494424316794,-1.93605988088481,-1.97191962319865,-0.922471953487415
08/06/1976,-0.802827507246177,-0.756454119702769,-0.652437906102914,-1.88396435020365,-1.94782082458193,-0.906229296117378
08/13/1976,-0.817461695860829,-0.825769010459285,-0.681012740775336,-1.83080667711093,-1.92457458269749,-0.890169422876849
